# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.002           	3.45837842e+02	-4.84663437e-13	-5.59409763e-01	-3.82620745e-13	-2.92553163e-02	-5.76204338e-13	1.72918921e+02	1.72918921e+02	-8.18536057e-13	3.33872620e-13	-3.08960198e-01	-2.50449565e-01
0.003           	5.24830628e+00	-5.88798548e-17	-6.38553667e-03	-4.50496412e-16	-2.35882884e-02	-2.55907357e-16	2.62415314e+00	2.62415314e+00	-2.85347285e-16	2.26467430e-16	-2.67810568e-02	2.03955201e-02
0.004           	4.80315044e+00	4.41513314e-17	3.46824310e-03	-3.77540249e-16	-1.89827998e-02	-1.32766072e-16	2.40157522e+00	2.40157522e+00	-1.10690407e-16	1.54841738e-16	-1.72486783e-02	2.07169214e-02
0.005           	4.52707731e+00	6.07403645e-17	5.67022125e-03	-3.52813518e-16	-1.51946216e-02	-9.60235739e-17	2.26353866e+00	2.26353866e+00	-6.56533917e-17	1.26393756e-16	-1.23595110e-02	1.80297322e-02
0.006           	4.30442677e+00	5.47560576e-17	2.63571840e-03	-3.37185852e-16	-1.20848245e-02	-7.98336908e-17	2.15221339e+00	2.15221339e+00	-5.24556620e-17	1.07211720e-16	-1.07669653e-02	1.34026837e-02
0.007           	4.10627726e+00	4.56266737e-17	-8.10787143e-04	-3.23680645e-16	-9.53241886e-03	-6.81608775e-17	2.05313863e+00	2.05313863e+00	-4.53475407e-17	9.09742144e-17	-9.93781243e-03	9.12702529e-03
0.008           	3.92990486e+00	3.48004676e-17	-2.01619898e-03	-3.12202250e-16	-7.43784161e-03	-5.96673997e-17	1.96495243e+00	1.96495243e+00	-4.22671659e-17	7.70676335e-17	-8.44594110e-03	6.42974211e-03
0.009           	3.77276486e+00	2.41224365e-17	-2.99570677e-03	-3.02036048e-16	-5.72066114e-03	-5.28700724e-17	1.88638243e+00	1.88638243e+00	-4.08088541e-17	6.49312907e-17	-7.21851452e-03	4.22280776e-03
0.01            	3.63089936e+00	1.38271620e-17	-4.49428497e-03	-2.93026666e-16	-4.31451538e-03	-4.71554497e-17	1.81544968e+00	1.81544968e+00	-4.02418687e-17	5.40690307e-17	-6.56165787e-03	2.06737289e-03
0.011           	3.50483694e+00	5.76672015e-18	-5.43291825e-03	-2.85532787e-16	-3.16428424e-03	-4.20174956e-17	1.75241847e+00	1.75241847e+00	-3.91341355e-17	4.49008557e-17	-5.88074336e-03	4.47825113e-04
0.012           	3.39060172e+00	-8.38795167e-19	-5.53385428e-03	-2.78371130e-16	-2.22554414e-03	-3.65725922e-17	1.69530086e+00	1.69530086e+00	-3.69919898e-17	3.61531946e-17	-4.99247128e-03	-5.41383001e-04
0.013           	3.28740055e+00	-6.89388123e-18	-6.61626764e-03	-2.71658146e-16	-1.46233302e-03	-3.16053283e-17	1.64370028e+00	1.64370028e+00	-3.50522689e-17	2.81583877e-17	-4.77046684e-03	-1.84580080e-03
0.014           	3.19371283e+00	-1.24116992e-17	-5.89862733e-03	-2.65717271e-16	-8.43075571e-04	-2.71201605e-17	1.59685642e+00	1.59685642e+00	-3.33260101e-17	2.09143109e-17	-3.79238923e-03	-2.10623809e-03
0.015           	3.10911887e+00	-1.64576938e-17	-5.83764704e-03	-2.60069329e-16	-3.43453287e-04	-2.24507064e-17	1.55455943e+00	1.55455943e+00	-3.06795533e-17	1.42218595e-17	-3.26227681e-03	-2.57537024e-03
0.016           	3.03239230e+00	-2.02242922e-17	-5.90314389e-03	-2.54868421e-16	5.69261831e-05	-1.82761278e-17	1.51619615e+00	1.51619615e+00	-2.83882739e-17	8.16398164e-18	-2.89464576e-03	-3.00849813e-03
0.017           	2.96312177e+00	-2.31982535e-17	-6.26944842e-03	-2.49965578e-16	3.73700093e-04	-1.40902670e-17	1.48156089e+00	1.48156089e+00	-2.56893938e-17	2.49114027e-18	-2.76102412e-03	-3.50842430e-03
