# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.093           	3.92423340e+00	-5.30437554e-16	-7.07514105e-03	2.26404513e-04	2.65744768e-03	1.25575469e-01	1.96234310e+00	1.96189030e+00	1.25575469e-01	-1.25575469e-01	-8.80122844e-04	-6.19501820e-03
0.094           	3.93367207e+00	-5.35208859e-16	-7.37846889e-03	2.36111005e-04	2.78165984e-03	1.25877506e-01	1.96707214e+00	1.96659992e+00	1.25877506e-01	-1.25877506e-01	-9.07574608e-04	-6.47089428e-03
0.095           	3.94424922e+00	-5.40242335e-16	-7.97841309e-03	2.55309219e-04	3.05403908e-03	1.26215975e-01	1.97237992e+00	1.97186930e+00	1.26215975e-01	-1.26215975e-01	-9.35167459e-04	-7.04324563e-03
0.096           	3.95350558e+00	-5.45069313e-16	-7.65000165e-03	2.44800053e-04	2.86252973e-03	1.26512178e-01	1.97699759e+00	1.97650799e+00	1.26512178e-01	-1.26512178e-01	-9.62471098e-04	-6.68753055e-03
0.097           	3.96378900e+00	-5.50047289e-16	-7.68645210e-03	2.45966467e-04	2.85376670e-03	1.26841248e-01	1.98214047e+00	1.98164853e+00	1.26841248e-01	-1.26841248e-01	-9.89459351e-04	-6.69699275e-03
0.098           	3.97413420e+00	-5.55024853e-16	-7.77762931e-03	2.48884138e-04	2.87249929e-03	1.27172295e-01	1.98731599e+00	1.98681822e+00	1.27172295e-01	-1.27172295e-01	-1.01631536e-03	-6.76131395e-03
0.099           	3.98547170e+00	-5.60052823e-16	-7.66868615e-03	2.45397957e-04	2.79134798e-03	1.27535094e-01	1.99298125e+00	1.99249045e+00	1.27535094e-01	-1.27535094e-01	-1.04299509e-03	-6.62569106e-03
0.1             	3.99356716e+00	-5.64481393e-16	-7.69855290e-03	2.46353693e-04	2.78055035e-03	1.27794149e-01	1.99702993e+00	1.99653722e+00	1.27794149e-01	-1.27794149e-01	-1.06872610e-03	-6.62982680e-03
0.101           	4.00454757e+00	-5.69773339e-16	-8.46727523e-03	2.70952807e-04	3.13823118e-03	1.28145522e-01	2.00254474e+00	2.00200283e+00	1.28145522e-01	-1.28145522e-01	-1.09540644e-03	-7.37186880e-03
0.102           	4.01512605e+00	-5.74774312e-16	-8.76527061e-03	2.80488659e-04	3.26057905e-03	1.28484034e-01	2.00784351e+00	2.00728254e+00	1.28484034e-01	-1.28484034e-01	-1.12205625e-03	-7.64321435e-03
