# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0125          	3.16639803e+00	8.03966234e-16	-4.32454425e-03	-1.50534398e-16	1.50769097e-03	-3.73454886e-17	1.58319902e+00	1.58319902e+00	3.64637628e-16	4.39328605e-16	-6.54581154e-04	-3.66996309e-03
0.013           	3.10883425e+00	7.88085607e-16	-4.26369267e-03	-1.45141682e-16	1.39100516e-03	-3.48852266e-17	1.55441712e+00	1.55441712e+00	3.59157577e-16	4.28928030e-16	-7.40841177e-04	-3.52285149e-03
0.0135          	3.05542417e+00	7.72793233e-16	-4.16546219e-03	-1.39981002e-16	1.28421097e-03	-3.25878213e-17	1.52771209e+00	1.52771209e+00	3.53808795e-16	4.18984438e-16	-7.98520123e-04	-3.36694207e-03
0.014           	3.00578112e+00	7.58060962e-16	-4.29375286e-03	-1.35024456e-16	1.18644663e-03	-3.04393554e-17	1.50289056e+00	1.50289056e+00	3.48591126e-16	4.09469836e-16	-9.60429805e-04	-3.33332306e-03
0.0145          	2.95950780e+00	7.43786221e-16	-4.21011948e-03	-1.30242809e-16	1.09711954e-03	-2.84336286e-17	1.47975390e+00	1.47975390e+00	3.43459482e-16	4.00326739e-16	-1.00794020e-03	-3.20217927e-03
0.015           	2.91634328e+00	7.29979923e-16	-4.12800626e-03	-1.25637259e-16	1.01548848e-03	-2.65527484e-17	1.45817164e+00	1.45817164e+00	3.38437213e-16	3.91542710e-16	-1.04851465e-03	-3.07949161e-03
0.0155          	2.87601164e+00	7.16608162e-16	-4.03774408e-03	-1.21180648e-16	9.40862341e-04	-2.47816719e-17	1.43800582e+00	1.43800582e+00	3.33522409e-16	3.83085753e-16	-1.07800970e-03	-2.95973438e-03
0.016           	2.83820115e+00	7.03744942e-16	-4.19116581e-03	-1.16919763e-16	8.72405181e-04	-2.31086402e-17	1.41910058e+00	1.41910058e+00	3.28763831e-16	3.74981111e-16	-1.22317772e-03	-2.96798808e-03
0.0165          	2.80276648e+00	6.91207932e-16	-4.09789401e-03	-1.12782474e-16	8.09727310e-04	-2.15385087e-17	1.40138324e+00	1.40138324e+00	3.24065457e-16	3.67142475e-16	-1.23921969e-03	-2.85867431e-03
0.017           	2.76949578e+00	6.79048822e-16	-4.05997870e-03	-1.08764795e-16	7.52170818e-04	-2.00510055e-17	1.38474789e+00	1.38474789e+00	3.19473405e-16	3.59575416e-16	-1.27781853e-03	-2.78216017e-03
