# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.00000000e-01
# lRef          : 1.00000000e-01
# Aref          : 1.00000000e-03
# CofR          : (2.00000000e-01 2.00000000e-01 5.00000000e-03)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
0.0125          	5.93493820e+00	9.48720556e-16	-2.98742292e-03	-4.52000994e-16	5.34985687e-04	1.05976839e-16	2.96746910e+00	2.96746910e+00	5.80337117e-16	3.68383438e-16	-9.58725775e-04	-2.02869715e-03
0.013           	5.82419608e+00	9.19658765e-16	-2.92393583e-03	-4.36984136e-16	4.94517198e-04	1.04675395e-16	2.91209804e+00	2.91209804e+00	5.64504777e-16	3.55153988e-16	-9.67450715e-04	-1.95648511e-03
0.0135          	5.72052712e+00	8.92304049e-16	-2.86721747e-03	-4.22859540e-16	4.58429817e-04	1.03436391e-16	2.86026356e+00	2.86026356e+00	5.49588415e-16	3.42715634e-16	-9.75178917e-04	-1.89203855e-03
0.014           	5.62323015e+00	8.66519518e-16	-2.81547113e-03	-4.09554849e-16	4.26075490e-04	1.02256507e-16	2.81161508e+00	2.81161508e+00	5.35516266e-16	3.31003252e-16	-9.81660077e-04	-1.83381106e-03
0.0145          	5.53169905e+00	8.42181181e-16	-2.76646207e-03	-3.97004590e-16	3.96927553e-04	1.01132442e-16	2.76584953e+00	2.76584953e+00	5.22223032e-16	3.19958149e-16	-9.86303482e-04	-1.78015859e-03
0.015           	5.44540484e+00	8.19178044e-16	-2.72448624e-03	-3.85150362e-16	3.70547689e-04	1.00061019e-16	2.72270242e+00	2.72270242e+00	5.09650041e-16	3.09528003e-16	-9.91695429e-04	-1.73279081e-03
0.0155          	5.36379515e+00	7.97400475e-16	-2.68824169e-03	-3.73935834e-16	3.46576843e-04	9.90391849e-17	2.68189757e+00	2.68189757e+00	4.97739422e-16	2.99661053e-16	-9.97544003e-04	-1.69069769e-03
0.016           	5.28673514e+00	7.76773192e-16	-2.65092689e-03	-3.63321033e-16	3.24701122e-04	9.80612145e-17	2.64336757e+00	2.64336757e+00	4.86447810e-16	2.90325381e-16	-1.00076232e-03	-1.65016456e-03
0.0165          	5.21358737e+00	7.57200714e-16	-2.61905917e-03	-3.53252624e-16	3.04678494e-04	9.71294958e-17	2.60679369e+00	2.60679369e+00	4.75729853e-16	2.81470861e-16	-1.00485109e-03	-1.61420808e-03
0.017           	5.14412691e+00	7.38608908e-16	-2.58760239e-03	-3.43694576e-16	2.86289134e-04	9.62386840e-17	2.57206346e+00	2.57206346e+00	4.65543138e-16	2.73065770e-16	-1.00751206e-03	-1.58009033e-03
0.0175          	5.07806873e+00	7.20927784e-16	-2.56089819e-03	-3.34609878e-16	2.69345071e-04	9.53862427e-17	2.53903436e+00	2.53903436e+00	4.55850135e-16	2.65077649e-16	-1.01110402e-03	-1.54979417e-03
0.018           	5.01515861e+00	7.04094706e-16	-2.53397219e-03	-3.25966024e-16	2.53687375e-04	9.45698510e-17	2.50757931e+00	2.50757931e+00	4.46617204e-16	2.57477502e-16	-1.01329872e-03	-1.52067347e-03
0.0185          	4.95516717e+00	6.88050061e-16	-2.50804284e-03	-3.17731719e-16	2.39179047e-04	9.37871785e-17	2.47758358e+00	2.47758358e+00	4.37812209e-16	2.50237852e-16	-1.01484237e-03	-1.49320047e-03
0.019           	4.89788746e+00	6.72739635e-16	-2.48544252e-03	-3.09878597e-16	2.25701110e-04	9.30360817e-17	2.44894373e+00	2.44894373e+00	4.29405899e-16	2.43333736e-16	-1.01702015e-03	-1.46842237e-03
0.0195          	4.84313347e+00	6.58115326e-16	-2.46385868e-03	-3.02381948e-16	2.13149704e-04	9.23146308e-17	2.42156674e+00	2.42156674e+00	4.21372294e-16	2.36743032e-16	-1.01877964e-03	-1.44507904e-03
0.02            	4.79073744e+00	6.44132529e-16	-2.44370970e-03	-2.95218364e-16	2.01433758e-04	9.16210106e-17	2.39536872e+00	2.39536872e+00	4.13687275e-16	2.30445254e-16	-1.02042109e-03	-1.42328861e-03
0.0205          	4.74054542e+00	6.30749898e-16	-2.42819371e-03	-2.88366249e-16	1.90473645e-04	9.09534925e-17	2.37027271e+00	2.37027271e+00	4.06328442e-16	2.24421457e-16	-1.02362321e-03	-1.40457050e-03
0.021           	4.69241761e+00	6.17926037e-16	-2.40830579e-03	-2.81804252e-16	1.80200956e-04	9.03103281e-17	2.34620880e+00	2.34620880e+00	3.99273346e-16	2.18652690e-16	-1.02395194e-03	-1.38435385e-03
0.0215          	4.64514738e+00	6.05520238e-16	-2.41717951e-03	-2.75433000e-16	1.67984831e-04	8.97115886e-17	2.32257369e+00	2.32257369e+00	3.92471708e-16	2.13048530e-16	-1.04060493e-03	-1.37657459e-03
0.022           	4.60082985e+00	5.93725908e-16	-2.40120549e-03	-2.69402129e-16	1.56719801e-04	8.91153644e-17	2.30041492e+00	2.30041492e+00	3.85978318e-16	2.07747590e-16	-1.04388295e-03	-1.35732255e-03
0.0225          	4.55827224e+00	5.82388993e-16	-2.38331206e-03	-2.63611706e-16	1.46274558e-04	8.85364862e-17	2.27913612e+00	2.27913612e+00	3.79730983e-16	2.02658010e-16	-1.04538147e-03	-1.33793059e-03
0.023           	4.51731769e+00	5.71487132e-16	-2.36788407e-03	-2.58047256e-16	1.36549858e-04	8.79767871e-17	2.25865884e+00	2.25865884e+00	3.73720353e-16	1.97766779e-16	-1.04739218e-03	-1.32049189e-03
0.0235          	4.47787879e+00	5.60995320e-16	-2.35558025e-03	-2.52695551e-16	1.27464355e-04	8.74350824e-17	2.23893940e+00	2.23893940e+00	3.67932743e-16	1.93062578e-16	-1.05032577e-03	-1.30525448e-03
0.024           	4.43987242e+00	5.50890103e-16	-2.34180988e-03	-2.47544489e-16	1.18952683e-04	8.69104650e-17	2.21993621e+00	2.21993621e+00	3.62355516e-16	1.88534586e-16	-1.05195226e-03	-1.28985763e-03
0.0245          	4.40322299e+00	5.41147697e-16	-2.32882254e-03	-2.42581681e-16	1.10957668e-04	8.64017418e-17	2.20161150e+00	2.20161150e+00	3.56975590e-16	1.84172106e-16	-1.05345360e-03	-1.27536894e-03
0.025           	4.36785986e+00	5.31747828e-16	-2.31489519e-03	-2.37796520e-16	1.03432361e-04	8.59080908e-17	2.18392993e+00	2.18392993e+00	3.51782005e-16	1.79965823e-16	-1.05401523e-03	-1.26087996e-03
